# Synthetic JUMP activity-results packet

The data are synthetic but intentionally shaped like jx/JUMP metadata.

Join keys: compound_metadata.jcp_id -> activity_results.jcp_id; activity_results.qc_plate_id -> plate_qc.qc_plate_id.

## TABLE compound_metadata
jcp_id,compound_name,inchi_key_stub,primary_target,target_confidence,moa_note,structure_alerts
JCP2022_RND0478,BCL2,compound,5.0,0.707,0.5,5,0.485,-1.712,PLATE_004,PROF_D0478_BCL2_5p0
JCP2022_RND0362,NDUFS2,compound,5.0,0.686,0.211,4,0.452,-0.854,PLATE_015,PROF_D0362_NDUFS2_5p0
JCP2022_RND0037,BRD4,compound,0.5,0.631,0.583,4,0.805,1.584,PLATE_003,PROF_D0037_BRD4_0p5
JCP2022_RND0719,BRD4,compound,0.5,0.59,0.11,5,0.451,-0.15,PLATE_009,PROF_D0719_BRD4_0p5
JCP2022_RND0774,PIK3CA,compound,5.0,0.496,0.64,8,0.731,-1.907,PLATE_009,PROF_D0774_PIK3CA_5p0
JCP2022_RND0602,BRD4,compound,0.5,0.181,0.628,8,0.505,-0.66,PLATE_018,PROF_D0602_BRD4_0p5
JCP2022_RND0369,PIK3CA,compound,0.5,0.415,0.235,4,0.376,1.932,PLATE_019,PROF_D0369_PIK3CA_0p5
JCP2022_RND0649,BRD4,compound,0.5,0.633,0.481,4,0.428,2.333,PLATE_023,PROF_D0649_BRD4_0p5
JCP2022_RND0403,BCL2,compound,0.5,0.387,0.027,8,0.774,0.573,PLATE_012,PROF_D0403_BCL2_0p5
JCP2022_RND0472,BRD4,compound,5.0,0.376,0.379,8,0.718,0.017,PLATE_005,PROF_D0472_BRD4_5p0
JCP2022_RND0630,TP53,compound,0.5,0.608,0.475,5,0.466,0.9,PLATE_020,PROF_D0630_TP53_0p5
JCP2022_RND0080,PIK3CA,compound,5.0,0.43,0.301,5,0.4,-1.555,PLATE_002,PROF_D0080_PIK3CA_5p0
JCP2022_RND0365,NDUFS2,compound,5.0,0.216,0.145,6,0.691,1.086,PLATE_009,PROF_D0365_NDUFS2_5p0
JCP2022_RND0442,BRD4,compound,5.0,0.084,0.048,4,0.709,1.544,PLATE_023,PROF_D0442_BRD4_5p0
JCP2022_RND0487,HDAC1,compound,5.0,0.64,0.326,5,0.872,-1.497,PLATE_012,PROF_D0487_HDAC1_5p0
JCP2022_RND0257,HDAC1,compound,5.0,0.716,0.218,6,0.652,-1.015,PLATE_012,PROF_D0257_HDAC1_5p0
JCP2022_RND0498,TOMM20,compound,0.5,0.317,0.198,5,0.484,1.608,PLATE_005,PROF_D0498_TOMM20_0p5
JCP2022_RND0358,BRD4,compound,0.5,0.517,0.577,4,0.492,0.295,PLATE_002,PROF_D0358_BRD4_0p5
JCP2022_RND0000,TOMM20,compound,0.5,0.55,0.18,6,0.405,-1.509,PLATE_003,PROF_D0000_TOMM20_0p5
JCP2022_RND0644,MTOR,compound,5.0,0.298,0.477,7,0.891,1.272,PLATE_016,PROF_D0644_MTOR_5p0
JCP2022_RND0579,NDUFS2,compound,5.0,0.298,0.249,6,0.476,0.107,PLATE_001,PROF_D0579_NDUFS2_5p0
JCP2022_RND0097,NDUFS2,compound,5.0,0.711,0.166,8,0.817,0.316,PLATE_003,PROF_D0097_NDUFS2_5p0
JCP2022_RND0894,MTOR,compound,5.0,0.188,0.526,8,0.453,-1.375,PLATE_010,PROF_D0894_MTOR_5p0
JCP2022_RND0079,BCL2,compound,0.5,0.108,0.091,4,0.729,-1.286,PLATE_024,PROF_D0079_BCL2_0p5
JCP2022_RND0065,BCL2,compound,5.0,0.562,0.417,4,0.423,0.41,PLATE_023,PROF_D0065_BCL2_5p0
JCP2022_RND0694,NDUFA9,compound,5.0,0.127,0.2,7,0.421,0.41,PLATE_014,PROF_D0694_NDUFA9_5p0
JCP2022_RND0726,BRD4,compound,0.5,0.377,0.406,8,0.792,1.918,PLATE_019,PROF_D0726_BRD4_0p5
JCP2022_RND0527,HDAC1,compound,0.5,0.258,0.521,5,0.556,-0.84,PLATE_013,PROF_D0527_HDAC1_0p5
JCP2022_RND0727,MTOR,compound,0.5,0.506,0.298,4,0.696,-1.755,PLATE_016,PROF_D0727_MTOR_0p5
JCP2022_RND0213,MAPK1,compound,5.0,0.197,0.36,8,0.495,-0.746,PLATE_009,PROF_D0213_MAPK1_5p0
JCP2022_RND0394,NDUFA9,compound,0.5,0.283,0.32,7,0.734,2.31,PLATE_018,PROF_D0394_NDUFA9_0p5
JCP2022_RND0238,BRD4,compound,5.0,0.169,0.039,7,0.748,1.924,PLATE_003,PROF_D0238_BRD4_5p0
JCP2022_RND0081,MAPK1,compound,0.5,0.551,0.218,4,0.719,1.218,PLATE_009,PROF_D0081_MAPK1_0p5
JCP2022_RND0745,ATP5F1A,compound,5.0,0.453,0.294,6,0.606,-1.529,PLATE_006,PROF_D0745_ATP5F1A_5p0
JCP2022_RND0291,MAPK1,compound,0.5,0.272,0.071,7,0.673,-0.406,PLATE_010,PROF_D0291_MAPK1_0p5
JCP2022_RND0436,BCL2,compound,5.0,0.458,0.09,4,0.418,-1.298,PLATE_019,PROF_D0436_BCL2_5p0
JCP2022_RND0149,MTOR,compound,5.0,0.736,0.518,4,0.828,1.302,PLATE_017,PROF_D0149_MTOR_5p0
JCP2022_RND0102,MTOR,compound,5.0,0.08,0.41,8,0.388,-0.396,PLATE_009,PROF_D0102_MTOR_5p0
JCP2022_RND0105,MTOR,compound,0.5,0.34,0.234,6,0.746,-0.832,PLATE_013,PROF_D0105_MTOR_0p5
JCP2022_RND0794,PIK3CA,compound,5.0,0.686,0.133,8,0.767,-0.545,PLATE_012,PROF_D0794_PIK3CA_5p0
JCP2022_RND0092,BRD4,compound,0.5,0.126,0.114,6,0.823,0.412,PLATE_002,PROF_D0092_BRD4_0p5
JCP2022_RND0502,BCL2,compound,0.5,0.359,0.436,4,0.596,0.544,PLATE_012,PROF_D0502_BCL2_0p5
JCP2022_RND0852,MTOR,compound,0.5,0.42,0.046,4,0.771,1.169,PLATE_003,PROF_D0852_MTOR_0p5
JCP2022_RND0302,BCL2,compound,0.5,0.286,0.229,7,0.794,0.175,PLATE_012,PROF_D0302_BCL2_0p5
JCP2022_RND0104,TP53,compound,5.0,0.701,0.353,8,0.68,2.127,PLATE_022,PROF_D0104_TP53_5p0
JCP2022_RND0402,MAPK1,compound,5.0,0.082,0.405,4,0.619,-0.231,PLATE_009,PROF_D0402_MAPK1_5p0
JCP2022_RND0410,TOMM20,compound,0.5,0.43,0.626,6,0.491,-0.351,PLATE_010,PROF_D0410_TOMM20_0p5
JCP2022_RND0305,MTOR,compound,5.0,0.262,0.642,4,0.578,-1.582,PLATE_013,PROF_D0305_MTOR_5p0
JCP2022_RND0352,NDUFA9,compound,0.5,0.087,0.233,8,0.362,-0.11,PLATE_009,PROF_D0352_NDUFA9_0p5
JCP2022_RND0346,PIK3CA,compound,0.5,0.632,0.262,8,0.795,-1.387,PLATE_011,PROF_D0346_PIK3CA_0p5
JCP2022_RND0176,ATP5F1A,compound,5.0,0.083,0.491,7,0.55,-0.486,PLATE_023,PROF_D0176_ATP5F1A_5p0
JCP2022_RND0727,ATP5F1A,compound,5.0,0.394,0.33,5,0.494,1.444,PLATE_016,PROF_D0727_ATP5F1A_5p0
JCP2022_RND0650,PIK3CA,compound,5.0,0.362,0.604,7,0.777,-0.971,PLATE_022,PROF_D0650_PIK3CA_5p0
JCP2022_RND0329,TP53,compound,0.5,0.64,0.596,4,0.772,1.859,PLATE_015,PROF_D0329_TP53_0p5
JCP2022_RND0603,PIK3CA,compound,5.0,0.553,0.396,4,0.539,0.173,PLATE_013,PROF_D0603_PIK3CA_5p0
JCP2022_RND0845,ATP5F1A,compound,0.5,0.683,0.561,7,0.35,-0.71,PLATE_021,PROF_D0845_ATP5F1A_0p5
JCP2022_RND0652,MAPK1,compound,5.0,0.45,0.508,4,0.773,0.567,PLATE_005,PROF_D0652_MAPK1_5p0
JCP2022_RND0558,PIK3CA,compound,5.0,0.202,0.58,4,0.629,-0.734,PLATE_002,PROF_D0558_PIK3CA_5p0
JCP2022_RND0653,TP53,compound,0.5,0.252,0.126,5,0.694,1.777,PLATE_002,PROF_D0653_TP53_0p5
JCP2022_RND0352,TOMM20,compound,0.5,0.649,0.06,4,0.687,0.855,PLATE_009,PROF_D0352_TOMM20_0p5
JCP2022_RND0090,MTOR,compound,5.0,0.444,0.528,5,0.792,-0.387,PLATE_015,PROF_D0090_MTOR_5p0
JCP2022_RND0347,HDAC1,compound,0.5,0.285,0.476,8,0.453,1.13,PLATE_010,PROF_D0347_HDAC1_0p5
JCP2022_RND0324,NDUFS2,compound,5.0,0.721,0.352,8,0.777,1.114,PLATE_013,PROF_D0324_NDUFS2_5p0
JCP2022_RND0779,UQCRC1,compound,0.5,0.164,0.63,7,0.844,-0.895,PLATE_003,PROF_D0779_UQCRC1_0p5
JCP2022_RND0679,MTOR,compound,0.5,0.667,0.52,6,0.892,1.142,PLATE_012,PROF_D0679_MTOR_0p5
JCP2022_RND0782,MAPK1,compound,0.5,0.34,0.454,5,0.859,-0.084,PLATE_005,PROF_D0782_MAPK1_0p5
JCP2022_RND0859,HDAC1,compound,0.5,0.542,0.141,5,0.615,-2.176,PLATE_020,PROF_D0859_HDAC1_0p5
JCP2022_RND0656,NDUFS2,compound,0.5,0.717,0.528,7,0.806,-0.463,PLATE_017,PROF_D0656_NDUFS2_0p5
JCP2022_RND0198,NDUFA9,compound,0.5,0.66,0.51,7,0.549,2.093,PLATE_019,PROF_D0198_NDUFA9_0p5
JCP2022_RND0611,TP53,compound,5.0,0.209,0.046,5,0.817,0.202,PLATE_016,PROF_D0611_TP53_5p0
JCP2022_RND0220,BCL2,compound,5.0,0.661,0.313,4,0.557,0.323,PLATE_021,PROF_D0220_BCL2_5p0
JCP2022_SYN001,ATP5F1A,compound,0.5,0.476,0.43,8,0.519,2.126,PLATE_001,PROF_YN001_ATP5F1A_0p5
JCP2022_RND0584,BRD4,compound,5.0,0.204,0.264,6,0.835,0.717,PLATE_023,PROF_D0584_BRD4_5p0
JCP2022_RND0899,MAPK1,compound,0.5,0.57,0.363,6,0.441,2.204,PLATE_003,PROF_D0899_MAPK1_0p5
JCP2022_RND0869,NDUFS2,compound,0.5,0.243,0.112,8,0.473,-1.463,PLATE_023,PROF_D0869_NDUFS2_0p5
JCP2022_RND0637,TOMM20,compound,0.5,0.276,0.539,7,0.374,-1.48,PLATE_006,PROF_D0637_TOMM20_0p5
JCP2022_SYN003,NDUFS2,compound,0.5,0.134,0.03,5,0.515,0.766,PLATE_003,PROF_YN003_NDUFS2_0p5
JCP2022_RND0845,NDUFA9,compound,5.0,0.717,0.159,6,0.799,-1.62,PLATE_021,PROF_D0845_NDUFA9_5p0
JCP2022_RND0099,BRD4,compound,5.0,0.185,0.538,5,0.622,-0.091,PLATE_016,PROF_D0099_BRD4_5p0
JCP2022_RND0134,BRD4,compound,5.0,0.124,0.656,5,0.678,1.084,PLATE_002,PROF_D0134_BRD4_5p0
JCP2022_RND0700,BCL2,compound,0.5,0.186,0.539,6,0.522,-0.054,PLATE_008,PROF_D0700_BCL2_0p5
JCP2022_RND0465,NDUFS2,compound,5.0,0.264,0.256,5,0.801,-0.585,PLATE_016,PROF_D0465_NDUFS2_5p0
JCP2022_RND0791,TP53,compound,0.5,0.129,0.168,8,0.799,-0.661,PLATE_011,PROF_D0791_TP53_0p5
JCP2022_RND0610,UQCRC1,compound,0.5,0.545,0.266,5,0.699,0.886,PLATE_011,PROF_D0610_UQCRC1_0p5
JCP2022_RND0755,BRD4,compound,0.5,0.09,0.448,4,0.403,0.47,PLATE_019,PROF_D0755_BRD4_0p5
JCP2022_RND0309,HDAC1,compound,0.5,0.483,0.261,5,0.809,1.782,PLATE_015,PROF_D0309_HDAC1_0p5
JCP2022_RND0630,NDUFA9,compound,0.5,0.386,0.041,8,0.372,-2.01,PLATE_020,PROF_D0630_NDUFA9_0p5
JCP2022_RND0112,ATP5F1A,compound,5.0,0.718,0.568,5,0.627,-0.809,PLATE_008,PROF_D0112_ATP5F1A_5p0
JCP2022_RND0804,UQCRC1,compound,0.5,0.397,0.299,6,0.372,0.949,PLATE_009,PROF_D0804_UQCRC1_0p5
JCP2022_RND0601,MAPK1,compound,0.5,0.315,0.465,8,0.558,-2.318,PLATE_001,PROF_D0601_MAPK1_0p5
JCP2022_RND0302,HDAC1,compound,5.0,0.458,0.118,6,0.36,-0.402,PLATE_012,PROF_D0302_HDAC1_5p0
JCP2022_RND0554,HDAC1,compound,0.5,0.574,0.137,8,0.808,-1.0,PLATE_006,PROF_D0554_HDAC1_0p5
JCP2022_RND0012,TOMM20,compound,0.5,0.45,0.038,6,0.357,-0.617,PLATE_001,PROF_D0012_TOMM20_0p5
JCP2022_RND0497,BRD4,compound,5.0,0.694,0.336,6,0.828,-1.284,PLATE_005,PROF_D0497_BRD4_5p0
JCP2022_RND0869,BRD4,compound,5.0,0.197,0.35,4,0.774,0.706,PLATE_023,PROF_D0869_BRD4_5p0
JCP2022_RND0187,MTOR,compound,5.0,0.551,0.57,7,0.745,1.994,PLATE_007,PROF_D0187_MTOR_5p0
JCP2022_RND0341,TP53,compound,0.5,0.585,0.452,6,0.566,-1.524,PLATE_020,PROF_D0341_TP53_0p5
JCP2022_RND0811,NDUFS2,compound,5.0,0.423,0.374,4,0.51,0.103,PLATE_024,PROF_D0811_NDUFS2_5p0
JCP2022_RND0855,MAPK1,compound,0.5,0.732,0.031,6,0.466,-1.172,PLATE_019,PROF_D0855_MAPK1_0p5
JCP2022_RND0638,BRD4,compound,5.0,0.441,0.241,4,0.497,-2.142,PLATE_013,PROF_D0638_BRD4_5p0
JCP2022_RND0879,NDUFS2,compound,0.5,0.537,0.074,6,0.765,-0.864,PLATE_005,PROF_D0879_NDUFS2_0p5
JCP2022_RND0597,HDAC1,compound,5.0,0.591,0.481,5,0.59,-0.278,PLATE_006,PROF_D0597_HDAC1_5p0
JCP2022_RND0809,HDAC1,compound,0.5,0.202,0.408,8,0.863,-0.433,PLATE_024,PROF_D0809_HDAC1_0p5
JCP2022_RND0285,TOMM20,compound,5.0,0.17,0.064,7,0.652,1.123,PLATE_024,PROF_D0285_TOMM20_5p0
JCP2022_RND0110,UQCRC1,compound,5.0,0.604,0.358,5,0.654,0.293,PLATE_001,PROF_D0110_UQCRC1_5p0
JCP2022_RND0086,TP53,compound,0.5,0.605,0.605,4,0.704,-1.856,PLATE_017,PROF_D0086_TP53_0p5
JCP2022_RND0476,ATP5F1A,compound,0.5,0.547,0.438,4,0.465,-1.21,PLATE_005,PROF_D0476_ATP5F1A_0p5
JCP2022_RND0259,HDAC1,compound,0.5,0.585,0.127,5,0.389,0.072,PLATE_005,PROF_D0259_HDAC1_0p5
JCP2022_RND0777,HDAC1,compound,5.0,0.733,0.229,5,0.819,0.402,PLATE_005,PROF_D0777_HDAC1_5p0
JCP2022_RND0779,ATP5F1A,compound,5.0,0.237,0.535,6,0.72,1.21,PLATE_003,PROF_D0779_ATP5F1A_5p0
JCP2022_RND0075,PIK3CA,compound,5.0,0.336,0.644,5,0.36,-0.434,PLATE_001,PROF_D0075_PIK3CA_5p0
JCP2022_RND0718,BRD4,compound,0.5,0.659,0.211,4,0.663,-0.753,PLATE_015,PROF_D0718_BRD4_0p5
JCP2022_RND0239,NDUFS2,compound,5.0,0.735,0.222,5,0.699,-1.324,PLATE_021,PROF_D0239_NDUFS2_5p0
JCP2022_RND0747,TP53,compound,0.5,0.296,0.531,7,0.638,-1.968,PLATE_014,PROF_D0747_TP53_0p5
JCP2022_RND0803,NDUFA9,compound,0.5,0.737,0.338,7,0.776,0.635,PLATE_004,PROF_D0803_NDUFA9_0p5
JCP2022_RND0826,NDUFS2,compound,0.5,0.692,0.077,4,0.786,-1.651,PLATE_011,PROF_D0826_NDUFS2_0p5
JCP2022_RND0285,BCL2,compound,5.0,0.355,0.24,5,0.848,0.985,PLATE_024,PROF_D0285_BCL2_5p0
JCP2022_RND0584,TOMM20,compound,5.0,0.412,0.527,5,0.594,0.179,PLATE_023,PROF_D0584_TOMM20_5p0
JCP2022_RND0488,HDAC1,compound,0.5,0.73,0.214,4,0.681,-0.742,PLATE_010,PROF_D0488_HDAC1_0p5
JCP2022_RND0725,BRD4,compound,5.0,0.142,0.182,8,0.656,1.165,PLATE_011,PROF_D0725_BRD4_5p0
JCP2022_RND0362,NDUFS2,compound,0.5,0.404,0.191,6,0.555,1.232,PLATE_015,PROF_D0362_NDUFS2_0p5
JCP2022_RND0816,MAPK1,compound,0.5,0.521,0.284,7,0.816,0.583,PLATE_006,PROF_D0816_MAPK1_0p5
JCP2022_RND0886,MTOR,compound,0.5,0.429,0.088,6,0.386,-2.226,PLATE_002,PROF_D0886_MTOR_0p5
JCP2022_RND0685,PIK3CA,compound,5.0,0.503,0.045,8,0.877,-2.117,PLATE_005,PROF_D0685_PIK3CA_5p0
JCP2022_RND0564,ATP5F1A,compound,5.0,0.554,0.587,5,0.858,-0.37,PLATE_012,PROF_D0564_ATP5F1A_5p0
JCP2022_RND0359,TP53,compound,5.0,0.504,0.403,8,0.684,-0.13,PLATE_008,PROF_D0359_TP53_5p0
JCP2022_RND0682,TP53,compound,0.5,0.551,0.533,7,0.362,-1.387,PLATE_008,PROF_D0682_TP53_0p5
JCP2022_RND0247,PIK3CA,compound,0.5,0.094,0.48,5,0.44,-2.011,PLATE_001,PROF_D0247_PIK3CA_0p5
JCP2022_RND0758,HDAC1,compound,5.0,0.506,0.218,7,0.438,1.674,PLATE_024,PROF_D0758_HDAC1_5p0
JCP2022_RND0876,UQCRC1,compound,0.5,0.516,0.268,8,0.703,-0.187,PLATE_015,PROF_D0876_UQCRC1_0p5
JCP2022_RND0785,ATP5F1A,compound,5.0,0.715,0.332,6,0.465,-1.274,PLATE_024,PROF_D0785_ATP5F1A_5p0
JCP2022_RND0447,NDUFA9,compound,5.0,0.254,0.369,8,0.585,-1.656,PLATE_011,PROF_D0447_NDUFA9_5p0
JCP2022_RND0794,PIK3CA,compound,0.5,0.579,0.597,5,0.695,2.011,PLATE_012,PROF_D0794_PIK3CA_0p5
JCP2022_RND0205,BRD4,compound,5.0,0.225,0.212,5,0.628,1.289,PLATE_001,PROF_D0205_BRD4_5p0
JCP2022_RND0739,MAPK1,compound,0.5,0.622,0.574,5,0.846,0.766,PLATE_024,PROF_D0739_MAPK1_0p5
JCP2022_RND0167,NDUFA9,compound,0.5,0.598,0.261,4,0.594,0.486,PLATE_005,PROF_D0167_NDUFA9_0p5
JCP2022_RND0174,MAPK1,compound,5.0,0.156,0.506,6,0.631,-1.112,PLATE_015,PROF_D0174_MAPK1_5p0
JCP2022_RND0709,MAPK1,compound,0.5,0.697,0.13,4,0.843,-0.079,PLATE_004,PROF_D0709_MAPK1_0p5
JCP2022_RND0030,UQCRC1,compound,5.0,0.229,0.164,6,0.866,1.321,PLATE_005,PROF_D0030_UQCRC1_5p0
JCP2022_RND0327,UQCRC1,compound,5.0,0.143,0.332,5,0.508,-0.479,PLATE_013,PROF_D0327_UQCRC1_5p0
JCP2022_RND0249,HDAC1,compound,5.0,0.343,0.207,8,0.641,1.135,PLATE_011,PROF_D0249_HDAC1_5p0
JCP2022_RND0696,UQCRC1,compound,5.0,0.649,0.456,4,0.436,-1.302,PLATE_016,PROF_D0696_UQCRC1_5p0
JCP2022_RND0182,ATP5F1A,compound,0.5,0.387,0.238,5,0.387,-1.985,PLATE_019,PROF_D0182_ATP5F1A_0p5
JCP2022_RND0891,BRD4,compound,5.0,0.473,0.548,5,0.859,0.005,PLATE_001,PROF_D0891_BRD4_5p0
JCP2022_RND0141,NDUFA9,compound,0.5,0.127,0.093,5,0.823,-2.146,PLATE_005,PROF_D0141_NDUFA9_0p5
JCP2022_RND0122,TOMM20,compound,0.5,0.715,0.367,4,0.638,1.117,PLATE_015,PROF_D0122_TOMM20_0p5
JCP2022_RND0589,MAPK1,compound,5.0,0.248,0.395,4,0.807,-2.246,PLATE_023,PROF_D0589_MAPK1_5p0
JCP2022_RND0144,NDUFS2,compound,0.5,0.361,0.55,8,0.778,0.319,PLATE_002,PROF_D0144_NDUFS2_0p5
JCP2022_RND0139,UQCRC1,compound,5.0,0.189,0.566,7,0.351,-1.955,PLATE_008,PROF_D0139_UQCRC1_5p0
JCP2022_RND0747,NDUFA9,compound,5.0,0.519,0.288,6,0.373,1.985,PLATE_014,PROF_D0747_NDUFA9_5p0
JCP2022_RND0799,PIK3CA,compound,0.5,0.49,0.58,4,0.356,-1.012,PLATE_014,PROF_D0799_PIK3CA_0p5
JCP2022_RND0446,HDAC1,compound,0.5,0.614,0.349,8,0.402,0.364,PLATE_013,PROF_D0446_HDAC1_0p5
JCP2022_RND0566,TP53,compound,5.0,0.178,0.545,7,0.857,0.64,PLATE_016,PROF_D0566_TP53_5p0
JCP2022_RND0881,NDUFA9,compound,0.5,0.594,0.154,6,0.818,-1.289,PLATE_006,PROF_D0881_NDUFA9_0p5
JCP2022_RND0143,HDAC1,compound,0.5,0.267,0.647,5,0.421,1.282,PLATE_019,PROF_D0143_HDAC1_0p5
JCP2022_RND0709,HDAC1,compound,0.5,0.478,0.575,4,0.564,0.567,PLATE_004,PROF_D0709_HDAC1_0p5
JCP2022_RND0154,HDAC1,compound,0.5,0.673,0.432,7,0.787,-1.739,PLATE_020,PROF_D0154_HDAC1_0p5
JCP2022_RND0184,NDUFS2,compound,5.0,0.177,0.138,7,0.637,-1.07,PLATE_023,PROF_D0184_NDUFS2_5p0
JCP2022_RND0664,NDUFA9,compound,5.0,0.619,0.449,5,0.553,1.605,PLATE_009,PROF_D0664_NDUFA9_5p0
JCP2022_RND0789,NDUFA9,compound,0.5,0.333,0.636,5,0.878,1.348,PLATE_024,PROF_D0789_NDUFA9_0p5
JCP2022_RND0215,MAPK1,compound,0.5,0.327,0.651,6,0.591,-1.429,PLATE_004,PROF_D0215_MAPK1_0p5
JCP2022_RND0699,TOMM20,compound,5.0,0.106,0.394,8,0.445,0.703,PLATE_013,PROF_D0699_TOMM20_5p0
JCP2022_RND0465,PIK3CA,compound,0.5,0.117,0.448,5,0.726,1.112,PLATE_016,PROF_D0465_PIK3CA_0p5
JCP2022_RND0807,MTOR,compound,0.5,0.386,0.143,8,0.75,-0.997,PLATE_009,PROF_D0807_MTOR_0p5
JCP2022_RND0227,NDUFS2,compound,5.0,0.592,0.454,5,0.552,0.126,PLATE_023,PROF_D0227_NDUFS2_5p0
JCP2022_RND0351,ATP5F1A,compound,0.5,0.608,0.349,4,0.528,-0.31,PLATE_009,PROF_D0351_ATP5F1A_0p5
JCP2022_RND0673,BCL2,compound,5.0,0.719,0.278,4,0.88,1.675,PLATE_001,PROF_D0673_BCL2_5p0
JCP2022_RND0625,NDUFA9,compound,5.0,0.436,0.131,5,0.495,1.356,PLATE_013,PROF_D0625_NDUFA9_5p0
JCP2022_RND0092,UQCRC1,compound,5.0,0.144,0.324,5,0.457,-0.222,PLATE_002,PROF_D0092_UQCRC1_5p0
JCP2022_RND0712,PIK3CA,compound,0.5,0.296,0.534,7,0.459,-0.304,PLATE_004,PROF_D0712_PIK3CA_0p5
JCP2022_RND0551,UQCRC1,compound,5.0,0.487,0.089,8,0.847,-0.676,PLATE_010,PROF_D0551_UQCRC1_5p0
JCP2022_RND0036,UQCRC1,compound,0.5,0.354,0.093,4,0.378,-0.121,PLATE_016,PROF_D0036_UQCRC1_0p5
JCP2022_RND0225,MTOR,compound,5.0,0.4,0.122,5,0.611,0.484,PLATE_008,PROF_D0225_MTOR_5p0
JCP2022_RND0579,NDUFS2,compound,0.5,0.134,0.061,5,0.393,0.946,PLATE_001,PROF_D0579_NDUFS2_0p5
JCP2022_RND0742,NDUFA9,compound,5.0,0.097,0.325,7,0.462,-1.331,PLATE_004,PROF_D0742_NDUFA9_5p0
JCP2022_RND0506,PIK3CA,compound,5.0,0.4,0.425,7,0.565,-0.879,PLATE_001,PROF_D0506_PIK3CA_5p0
JCP2022_RND0530,NDUFS2,compound,5.0,0.653,0.306,4,0.616,1.401,PLATE_012,PROF_D0530_NDUFS2_5p0
JCP2022_RND0656,MTOR,compound,0.5,0.353,0.26,6,0.364,0.816,PLATE_017,PROF_D0656_MTOR_0p5
JCP2022_RND0888,UQCRC1,compound,0.5,0.589,0.296,4,0.893,2.175,PLATE_004,PROF_D0888_UQCRC1_0p5
JCP2022_RND0823,MAPK1,compound,5.0,0.522,0.41,6,0.394,1.509,PLATE_005,PROF_D0823_MAPK1_5p0
JCP2022_RND0190,BCL2,compound,5.0,0.521,0.022,4,0.853,-0.47,PLATE_019,PROF_D0190_BCL2_5p0
JCP2022_RND0764,NDUFS2,compound,5.0,0.433,0.538,7,0.363,-0.853,PLATE_008,PROF_D0764_NDUFS2_5p0
JCP2022_RND0000,MAPK1,compound,5.0,0.142,0.485,4,0.693,-0.203,PLATE_003,PROF_D0000_MAPK1_5p0
JCP2022_RND0431,NDUFA9,compound,5.0,0.736,0.59,5,0.638,-1.536,PLATE_019,PROF_D0431_NDUFA9_5p0
JCP2022_RND0089,NDUFS2,compound,0.5,0.357,0.173,4,0.647,-1.556,PLATE_012,PROF_D0089_NDUFS2_0p5
JCP2022_RND0800,MAPK1,compound,5.0,0.325,0.44,6,0.415,0.475,PLATE_010,PROF_D0800_MAPK1_5p0
JCP2022_RND0282,NDUFA9,compound,5.0,0.628,0.114,8,0.653,-1.333,PLATE_017,PROF_D0282_NDUFA9_5p0
JCP2022_RND0349,ATP5F1A,compound,0.5,0.385,0.45,6,0.771,0.65,PLATE_021,PROF_D0349_ATP5F1A_0p5
JCP2022_RND0068,TOMM20,compound,0.5,0.226,0.347,8,0.599,-0.96,PLATE_013,PROF_D0068_TOMM20_0p5
JCP2022_RND0763,ATP5F1A,compound,0.5,0.73,0.501,4,0.647,0.827,PLATE_018,PROF_D0763_ATP5F1A_0p5
JCP2022_RND0548,MTOR,compound,0.5,0.341,0.484,5,0.439,-1.647,PLATE_011,PROF_D0548_MTOR_0p5
JCP2022_RND0065,NDUFA9,compound,5.0,0.181,0.228,5,0.551,-0.324,PLATE_023,PROF_D0065_NDUFA9_5p0
JCP2022_RND0524,ATP5F1A,compound,0.5,0.325,0.382,7,0.51,1.177,PLATE_019,PROF_D0524_ATP5F1A_0p5
JCP2022_RND0736,BCL2,compound,5.0,0.605,0.626,4,0.516,0.181,PLATE_010,PROF_D0736_BCL2_5p0
JCP2022_RND0437,HDAC1,compound,5.0,0.431,0.563,7,0.403,-0.971,PLATE_002,PROF_D0437_HDAC1_5p0
JCP2022_RND0813,PIK3CA,compound,5.0,0.115,0.256,7,0.459,-1.752,PLATE_014,PROF_D0813_PIK3CA_5p0
JCP2022_RND0761,ATP5F1A,compound,5.0,0.29,0.18,5,0.691,-1.551,PLATE_019,PROF_D0761_ATP5F1A_5p0
JCP2022_RND0167,PIK3CA,compound,0.5,0.631,0.137,6,0.374,1.43,PLATE_005,PROF_D0167_PIK3CA_0p5
JCP2022_RND0181,BRD4,compound,0.5,0.306,0.286,7,0.735,-1.65,PLATE_010,PROF_D0181_BRD4_0p5
JCP2022_RND0235,NDUFS2,compound,0.5,0.499,0.656,4,0.868,2.155,PLATE_015,PROF_D0235_NDUFS2_0p5
JCP2022_RND0897,TP53,compound,5.0,0.412,0.055,6,0.842,-1.727,PLATE_021,PROF_D0897_TP53_5p0
JCP2022_RND0208,ATP5F1A,compound,0.5,0.481,0.357,4,0.56,-1.929,PLATE_014,PROF_D0208_ATP5F1A_0p5
JCP2022_RND0647,MAPK1,compound,5.0,0.334,0.211,5,0.817,-1.491,PLATE_009,PROF_D0647_MAPK1_5p0
JCP2022_RND0312,MTOR,compound,5.0,0.698,0.578,7,0.856,1.808,PLATE_024,PROF_D0312_MTOR_5p0
